ID,Title,Description,Priority,Verify,Status
FR-CFG-003,Lines per level,10 cleared lines are required to advance one level,must,llm-judge,satisfied
FR-CLEAR-001,Single line clear,Locking with exactly one full row removes it and shifts rows above down by one,must,llm-judge,satisfied
FR-CLEAR-002,Double line clear,Locking with exactly two full rows clears both in a single step,must,llm-judge,satisfied
FR-CLEAR-003,Triple line clear,Locking with exactly three full rows clears all three in a single step,must,llm-judge,satisfied
FR-CLEAR-004,Tetris (quad) clear,Locking with exactly four full rows clears all four in a single step,must,llm-judge,satisfied
FR-CLEAR-005,Non-contiguous clears preserve gaps,Only filled rows are removed and remaining blocks settle preserving partial-row gaps,must,llm-judge,satisfied
FR-CLEAR-006,No false clear,A row containing any empty cell is never cleared,must,llm-judge,satisfied
FR-COL-001,Collision integrity invariant,No active-piece cell ever overlaps an occupied cell or exits left/right/bottom bounds,must,llm-judge,satisfied
FR-CTRL-001,Keyboard bindings,"Bindings: arrows move/soft-drop, Space hard-drop, Up/X & Z/Ctrl rotate, C/Shift hold, Esc/P pause, R restart",must,llm-judge,partial
FR-CTRL-003,Deterministic repeat / simultaneous keys,Key repeat has no missed/doubled inputs; simultaneous keys resolve deterministically,should,llm-judge,partial
FR-CTRL-005,Suppress browser default gestures,Arrows/Space do not scroll the page and touch gestures do not zoom during play,must,llm-judge,satisfied
FR-ERR-001,Input spam safe,Many inputs within one frame cause no crash/illegal state/double-move; invariants hold,must,llm-judge,partial
FR-ERR-002,Concurrent rotate+move+drop deterministic,Simultaneous rotate/move/drop resolve deterministically without overlap or escaping bounds,must,llm-judge,satisfied
FR-ERR-003,Hard drop into full column,Hard drop into a full/near-full column locks correctly at top (may game over) without crashing,must,llm-judge,satisfied
FR-ERR-005,localStorage unavailable degrades,If localStorage is unavailable/quota/private (persistence degrades gracefully and game stays playable),should,llm-judge,need code check
FR-GHOST-001,Ghost piece matches landing,Ghost piece marks the exact cells where a hard drop would land the active piece,should,llm-judge,satisfied
FR-GRID-001,Playfield dimensions,Playfield is 10 cells wide and 20 cells high,must,llm-judge,satisfied
FR-GRID-002,Cell state,Each cell is either empty or filled with exactly one piece color/type id,must,llm-judge,satisfied
FR-LEVEL-001,Level increases every 10 lines,Level increments by one each time cumulative cleared lines cross the next multiple of 10,must,llm-judge,satisfied
FR-LIFE-002,Start spawns first piece + gravity,Triggering Start spawns the first tetromino top-center and begins the gravity timer,must,llm-judge,satisfied
FR-LIFE-004,Pause stops fall and timer,Pausing stops the active piece from falling and stops the gravity timer,must,llm-judge,satisfied
FR-LIFE-005,Pause ignores gameplay input,While paused all input except Resume is ignored; board state does not change,must,llm-judge,satisfied
FR-LIFE-006,Resume restores identical state,Resuming continues from the identical board/piece/score/level/lines state before pausing,must,llm-judge,satisfied
FR-LIFE-007,Restart resets state,Restart after game over resets board/score/level/lines to initial values and starts fresh,must,llm-judge,satisfied
FR-LIFE-008,Tab blur auto-pause,On tab blur/refocus exactly one loop runs with no runaway timers or skipped-tick avalanche,should,llm-judge,satisfied
