ID,Title,Description,Priority,Verify,Status,
NFR-LOAD-001,Time to interactive,Game becomes interactive (menu or first piece) within 3 seconds of opening the URL,must,manual,satisfied,
FR-LIFE-001,Clean startup,Startup completes with zero uncaught exceptions and zero console errors,must,manual,satisfied,
FR-LIFE-002,Start spawns first piece + gravity,Triggering Start spawns the first tetromino top-center and begins the gravity timer,must,llm-judge,satisfied,
FR-LIFE-003,Stable game-loop cadence,Game advances at a stable cadence with no stall over 100 ms during normal play,must,manual,satisfied,
FR-LIFE-004,Pause stops fall and timer,Pausing stops the active piece from falling and stops the gravity timer,must,llm-judge,partially,"if the game is paused, I can click whitespace and pause title statys on screen, but game begins to play"
FR-LIFE-005,Pause ignores gameplay input,While paused all input except Resume is ignored; board state does not change,must,llm-judge,not satisfied,
FR-LIFE-006,Resume restores identical state,Resuming continues from the identical board/piece/score/level/lines state before pausing,must,llm-judge,satisfied,
FR-LIFE-007,Restart resets state,Restart after game over resets board/score/level/lines to initial values and starts fresh,must,llm-judge,satisfied,
FR-LIFE-008,Tab blur auto-pause,On tab blur/refocus exactly one loop runs with no runaway timers or skipped-tick avalanche,should,llm-judge,satisfied,Description statement needs to be more understandable
FR-GRID-001,Playfield dimensions,Playfield is 10 cells wide and 20 cells high,must,llm-judge,satisfied,
FR-GRID-002,Cell state,Each cell is either empty or filled with exactly one piece color/type id,must,llm-judge,satisfied,
FR-GRID-003,Entire field visible,All 20 rows of the playable field stay visible on screen during play,should,manual,satisfied,
FR-PIECE-001,Seven tetrominoes exist,The seven standard tetrominoes I/O/T/S/Z/L/J exist with correct geometry,must,llm-judge,satisfied,
FR-PIECE-002,Standard colors,Pieces use standard colors: I cyan O yellow T purple S green Z red L orange J blue,should,llm-judge,satisfied,
FR-PIECE-003,Four cells per piece,Every tetromino is composed of exactly four cells in any rotation,must,llm-judge,satisfied,
FR-PIECE-004,Spawn position centered at top,Spawns at top horizontally centered via x = floor(fieldWidth/2) - floor(pieceWidth/2) in standard orientation,must,llm-judge,satisfied,
FR-CFG-001,Base drop interval,Base drop interval is 500 ms at the starting level,must,llm-judge,satisfied,
FR-CFG-002,Minimum drop interval,Drop interval is clamped to a minimum of 50 ms,must,llm-judge,satisfied,
FR-CFG-003,Lines per level,10 cleared lines are required to advance one level,must,llm-judge,satisfied,
